
#<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
30-08-2017 11:00:33 PID: 8325
Attaching to process ID 8325, please wait...
Debugger attached successfully.
Server compiler detected.
JVM version is 25.65-b01
class_loader	classes	bytes	parent_loader	alive?	type

<bootstrap>	2571	4473920	  null  	live	<internal>
0x000000009d080308	1	880	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081c08	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17bf0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65e960	1	1474	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660860	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de710e0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081500	1	1473	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009db9d4b0	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081118	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65fd70	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080a10	1	1472	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df174e8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5e9c8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660478	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de70cf8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080628	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081f28	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df178d0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660540	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d07ff20	1	1472	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de70dc0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def45c8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081820	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17fd8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081438	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65fa50	1	1476	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5e5e0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080d30	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df171c8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660158	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080948	1	880	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d082248	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df175b0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5ea90	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660220	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de70aa0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080240	1	1495	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081b40	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17cb8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65ea28	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660928	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de711a8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081758	1	1473	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df180a0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081050	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65fe38	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080c68	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
